"average_ms","month","year","paddock","animals_amount","gender","total_rainfall","average_atmospheric_pressure","dew_point_temperature","average_temperature","relative_humidity","average_mv","NIRM","REDM","RED_EDGEM","SWIR1M","GREENM","BLUEM","NDVIM","NDWIM","EVIM","LAIM","GEMIM","SAVIM","DVIM","GCIM","GDVIM","GLIM","GNDVIM","GOSAVIM","GRIM","GSAVIM","IPVIM","MNLIM","MSAVI2M","MSRM","NLIM","OSAVIM","RDVIM","SRM","TDVIM","VARIM","WDRVIM"
2935.74,10,2017,1,2,1,0,948.764,17.17675,26.956,56.8955,8716.67,2369.45555555556,1193.35555555556,2651.03333333333,2235.97777777778,1202.68888888889,1252.53333333333,0.335101050588723,0.0845992169092559,0.194567733900854,0.58594606125329,-1452872.37578943,0.502579610978075,1176.1,1.02263778575304,1166.76666666667,-0.00632407965884307,1166.76666666667,0.329948755769959,2.02263778575304,0.494875349813615,0.667550525294362,1.49935665521102,0.494796939843097,0.429815341275397,0.99957119319015,0.335085696573561,19.8393375203647,2.06628362517919,0.742195388683933,0.015447127379428,-0.659561632508641
4112.18,11,2017,1,2,1,0,949,13.3375,27.22,43.041,10066.67,2845.22222222222,810.866666666667,3251.11111111111,2090.44444444444,985.155555555556,944.088888888889,0.555350507416886,0.21683761632021,0.34372038480957,1.12558035224102,-4180950.17599449,0.832911892533582,2034.35555555556,1.88906382519899,1860.06666666667,0.0579084217838521,1860.06666666667,0.484784465815831,2.88906382519899,0.727112113080139,0.777675253708443,1.49969453929187,0.713183498635721,0.877019064907279,0.999796421952313,0.555326213188919,33.6054287671077,3.53507929615696,1.06977522291505,0.208443840206861,-0.478985958718857
5935.01,12,2017,1,2,1,3.8,9.509,19.8995,26.512,68.8955,15850,2904.51111111111,718.622222222222,3426.32222222222,1983.85555555556,982.244444444445,931.066666666667,0.60130065249208,0.264934727220974,0.373285811933921,1.23254806757693,-4852582.71133407,0.901826593762835,2185.88888888889,1.95993451489213,1922.26666666667,0.0870232218089042,1922.26666666667,0.49341877748867,2.95993451489213,0.740063280411786,0.80065032624604,1.49973601960652,0.749539902977641,1.01748345413009,0.999824073574699,0.601274114534772,36.2419729819422,4.09314730444913,1.12430982821362,0.35057071701273,-0.421707290800617
4607.08,1,2018,1,2,1,0.6,950.952,18.987,25.6205,68.9995,10491.67,3343.42222222222,1546.7,3739.54444444444,2697.17777777778,1676.76666666667,1688.67777777778,0.413049605223897,0.178977856059556,0.271482279390562,0.864222886835052,-3239354.291096,0.619496209133562,1796.72222222222,1.21380331410677,1666.65555555556,0.0319938511615564,1666.65555555556,0.361767933672627,2.21380331410677,0.542608366261966,0.706524802611948,1.4996226388997,0.570083609199259,0.595288541794685,0.999748478418403,0.413032921300758,26.8895647868438,2.62131946088685,0.855125395914602,0.151295899999581,-0.592436164959391
3585.21,2,2018,1,2,1,0.466666666666667,950.194333333333,16.4733333333333,24.9191666666667,63.1663333333333,8900,2553.61481481481,750.096296296296,3000.11851851852,1973.76296296296,897.874074074074,881.577777777778,0.54408129265349,0.205049630218501,0.314028019058705,1.01815337295439,-3319911.05739406,0.815998551093384,1803.51851851852,1.85178587243053,1655.74074074074,0.048586432260496,1655.74074074074,0.478097898254291,2.85178587243053,0.7170762000104,0.772040646326745,1.49964450824464,0.702753369749539,0.854447427450711,0.999763083576993,0.544054967191283,31.3153338179091,3.46479083249072,1.05413002421852,0.201102865281572,-0.488321468938168
4007.82,3,2018,1,2,1,0,950.663333333333,20.8248333333333,25.9345,74.4996666666667,8666.67,2202.54074074074,859.992592592593,2644.02962962963,1775.34814814815,992.8,1068.00740740741,0.441768859823486,0.196092905928942,0.235672995985036,0.734664899473858,-1874381.65882144,0.662542624204656,1342.54814814815,1.29073697866058,1209.74074074074,0.017096410440677,1209.74074074074,0.382433387629047,2.29073697866058,0.57358747957729,0.720884429911743,1.49945545939803,0.608133474594844,0.624724615277032,0.999637081163803,0.441745248455275,24.3071494994266,2.6719267170543,0.912200177938658,0.180195926338679,-0.581808091421514
1880.38,10,2018,1,2,2,3.57600337980566,793.1968788903,16.0860876874496,23.5083348119983,62.3116666666667,6560,4102.06666666667,2476.91111111111,4647.08148148148,3265.95555555556,2524.71111111111,2582.82222222222,0.394205484401952,0.172084029252884,0.256382737654607,0.80959274483437,-3448217.51198988,0.591231212571122,1625.15555555556,1.39343066793402,1577.35555555556,0.0357577482851232,1577.35555555556,0.350405142325579,2.39343066793402,0.525563913500435,0.697102742200976,1.49964777347891,0.508524719001768,0.663760529631709,0.999765229166135,0.394189053241549,24.975487178996,3.04437968601549,0.762787061885235,0.162087451417744,-0.562061664852175
2476.82,11,2018,1,2,2,0.466666666666667,950.131333333333,19.3178333333333,24.2095,75.9023333333333,7640,2917.57037037037,821.022222222222,3380.11111111111,1944.99259259259,1093.16296296296,1050.56296296296,0.539312792297163,0.269745194492714,0.339707463140618,1.11106160164276,-5424667.63218334,0.808841989551625,2096.54814814815,1.60253918378052,1824.40740740741,0.0762541229035099,1824.40740740741,0.421705518950736,2.60253918378052,0.632500581030003,0.769656396148582,1.49954132017593,0.690508597318886,0.890319828796267,0.999694347938577,0.539285652691415,33.0062443043241,3.68240975028232,1.03576285057811,0.472393879454597,-0.473745438381666
3833.44,12,2018,1,2,2,0,952.73175,17.5935,27.2945,57.43725,10025,2759.29444444444,943.794444444444,3192.19444444444,2044.13333333333,1131.11111111111,1070.03888888889,0.477168979185156,0.218733431610191,0.29609091276793,0.95325692239437,-3678404.96368707,0.715651724956034,1815.5,1.40696092994497,1628.18333333333,0.0564544699835385,1628.18333333333,0.40333928258239,2.40696092994497,0.604954310185871,0.738584489592578,1.49953302632431,0.642060272665665,0.698723777826435,0.999688780925923,0.477147271507449,29.1964633101426,2.91721778464745,0.963090379601087,0.201176437188893,-0.551756397745524
3292.52,1,2019,1,2,2,0.35,953.3245,19.737,26.359125,68.1975,8240,2517.37777777778,809.616666666667,3005.43333333333,2131.60555555556,960.955555555556,922.272222222222,0.512086488067734,0.1699169438858,0.29502588962996,0.949403668681194,-2966596.35050771,0.768014123259454,1707.76111111111,1.62475042914492,1556.42222222222,0.0522915565316469,1556.42222222222,0.445976842647318,2.62475042914492,0.668899837202219,0.756043244033867,1.49960884557182,0.676024799189733,0.768183301765278,0.999739310727505,0.512061822313892,29.5572931242163,3.14068218737575,1.01403716930557,0.184536844729935,-0.523609286195992
